Design #,Case,Problem Framing - Relevant behaviors,Problem Framing - Target Outcome,Change Demand - Novelty,Change Demand - Scope,Change Demand - Frequency,Behavioral Constraints - Environmental Opportunity,Behavioral Constraints - Social opportunity,Behavioral Constraints - Technical Opportunity - Object,Behavioral Constraints - Technical Opportunity - Tool,Change Demand (total),Change Demand (high / low),Behavioral Constraint (total),Behavioral Constraint (high / low),Solution Principles,Solution - Mode of Delivery,Effect of design?,Rationale - Mechanism of Action,Use When - Population engagement,Use When - Contextual Cues,Use When - Areas of Application,Notes on Choice Infrastructure,Evoke emotions,Impose expectations,Set standards,Enhance commitment,Help construct self-image,Provide reward,Provide punishment,Set goals,Provide guidance,Provide feedback,Practice behavior,Present possible consequences,Prime users,Use triggers,Tell or show what others do,Consider messenger,Validate action,Present info figuratively,Make it salient,Require Action,Selectively present choices,Make it simple,Divert Action,SUM of Principles
44,81,smart meters and use for feedback to energy consumers,To study the applications of behavioral insights to the roll-out of smart meters,0,0,1,0,0,0,0,1,LOW,0,LOW,"Provide guidance;

(energy efficiency advice)",Information - electronic; Individual-based; Push;,no difference,Knowledge,low,information seeking; ,energy; use; customer,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,81,smart meters and use for feedback to energy consumers,To study the applications of behavioral insights to the roll-out of smart meters,0,0,1,0,0,0,0,1,LOW,0,LOW,"Provide guidance;
Provide feedback;
Set standards;

(historic energy consumption information and comparison of energy consumption with earlier periods)",Information - electronic; Individual-based; Push;,no difference,"Feedback processes;
Norms;
General attitudes and beliefs;

(status quo bias, attitude-behavior gaps, and framing effects)",low,information seeking,energy; use; customer,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
46,81,smart meters and use for feedback to energy consumers,To study the applications of behavioral insights to the roll-out of smart meters,0,0,1,0,0,0,0,1,LOW,0,LOW,"Provide feedback;
Tell or show what others do;
Set standards;

(benchmarking of the customer's consumption against the consumption of comparable households)",Information - electronic; Individual-based,Better,"Norms;
Feedback processes;
",low,social comparison; information seeking,energy; use; customer,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3
47,81,smart meters and use for feedback to energy consumers,To study the applications of behavioral insights to the roll-out of smart meters,0,0,1,0,0,0,0,1,LOW,0,LOW,"Enhance commitment;
",Information - electronic; Individual-based; Pull;,No difference,"Goals;
Intention;
",low,commitment,energy; use; customer,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,81,smart meters and use for feedback to energy consumers,To study the applications of behavioral insights to the roll-out of smart meters,0,0,1,0,0,0,0,1,LOW,0,LOW,"Provide feedback;

(smart electricity and gas meters)",Information - electronic; Environmental Change; Individual-based; Push,Better,Feedback processes; Knowledge,low,"Use with any of the other interventions; especially with real-time displays; salient, fequent and accurate; continuous behavior",energy; use; customer,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,81,smart meters and use for feedback to energy consumers,To study the applications of behavioral insights to the roll-out of smart meters,0,0,1,0,0,0,0,1,LOW,0,LOW,"Provide feedback;
Use triggers;

(real-time display (RTD) devices that show energy use including audible usage reduction alarms)",Information - electronic; Environmental Change; Information - audible; Individual based; Push,Better,Feedback processes; Knowledge; Behavioral cueing,low,"salient, fequent and accurate; continuous behavior",energy; use; customer,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
50,81,smart meters and use for feedback to energy consumers,To study the applications of behavioral insights to the roll-out of smart meters,0,0,1,0,0,0,0,1,LOW,0,LOW,"Require action;

(control of heating and hot water integrated with RTDs)",Information - electronic; Individual-based; Environmental Change;,No difference,"Memory, attention, and decision-processes",low,able to control use,energy; use; customer,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
51,81,smart meters and use for feedback to energy consumers,To study the applications of behavioral insights to the roll-out of smart meters,0,0,1,0,0,0,0,1,LOW,0,LOW,"Provide reward;

(Financial incentives including variable tariffs to either reduce consumption or shift energy use from periods of peak demand to periods of lower demand)",Information - electronic; Individual-based; Push;,Unsure,Intention; Motivation; ,low,change behavior immediately,energy; use; customer,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,81,smart meters and use for feedback to energy consumers,To study the applications of behavioral insights to the roll-out of smart meters,0,0,1,0,0,0,0,1,LOW,0,LOW,"Provide guidance;
Present figuratively;
Make it salient;

(Other digital media for delivering information like web and TV)",Information - electronic; Group-based; Push,No difference,Knowledge,low,increase salience;,energy; use; customer,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
53,84,Label designs affect consumer understanding,To discover how the provision of online information on energy performance of household appliances can be improved to promote energy efficient product choices; how can the current full energy efficiency label be simplified and adapted to contexts with limited information space while retaining its effectiveness?,0,0,0,0,1,0,0,0,LOW,1,LOW,"Present info figuratively;
Set standards;

(Class-only label: shows a letter grade representing the energy efficiency of the product)",Information - electronic; Individual based,better,"Knowledge; Memory, attention, and decision-processes

(information effect; label effect; reduced label effect; decision-stage effect; order effect)",low,great to use when later in the decision-making process; time; ,product; selection; appliances; buying; consumers,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
54,84,Label designs affect consumer understanding,To discover how the provision of online information on energy performance of household appliances can be improved to promote energy efficient product choices; how can the current full energy efficiency label be simplified and adapted to contexts with limited information space while retaining its effectiveness?,0,0,0,0,1,0,0,0,LOW,1,LOW,"Selectively present choices;
Set standards;
Present info figuratively;

(meaning effect - adding textual or visual meaning to the reduced class-only label improves its effectiveness)",Information - electronic; Individual based; Push,No difference,"Knowledge; Memory, attention, and decision-processes

(information effect; label effect; reduced label effect; decision-stage effect; order effect)",low,not much better than control at various stages of selection (early set selection and final product selection),product; selection; appliances; buying; consumers,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3
55,84,Label designs affect consumer understanding,To discover how the provision of online information on energy performance of household appliances can be improved to promote energy efficient product choices; how can the current full energy efficiency label be simplified and adapted to contexts with limited information space while retaining its effectiveness?,0,0,0,0,1,0,0,0,LOW,1,LOW,"Selectively present choices;
Set standards;
Present info figuratively;

(frame of reference effect - adding a frame of reference to the reduced (class-only) label improves its effectiveness, particularly in the final choice stage)",Information - electronic; Individual based; Push,better,"Knowledge; Memory, attention, and decision-processes

(information effect; label effect; reduced label effect; decision-stage effect; order effect)",low,great to use when benchmarking different products in the set formation stage (early in the selection); use this technique early in decision-making process; time,product; selection; appliances; buying; consumers,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3
56,84,Label designs affect consumer understanding,To discover how the provision of online information on energy performance of household appliances can be improved to promote energy efficient product choices; how can the current full energy efficiency label be simplified and adapted to contexts with limited information space while retaining its effectiveness?,0,0,0,0,1,0,0,0,LOW,1,LOW,"Selectively present choices;
Consider messenger;
Set standards;
Present info figuratively;

(meaning effect and frame of reference effect; using a visual depiction of the environmental efficiency using an increasing scale of green leafs (1 - 5 leaves))",Information - electronic; Individual based,No difference,"Knowledge; Memory, attention, and decision-processes;

(information effect; label effect; reduced label effect; decision-stage effect; order effect)",low,not much better than control at various stages of selection (early set selection and final product selection),product; selection; appliances; buying; consumers,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4
57,95,fisheries management and allocation decision to local fisher and community levels to improve fisheries management,identify common pathways to establishing and implementing managed access with reserves ,1,1,1,1,0,0,0,3,HIGH,1,LOW,"Provide Punishment; Help construct self-image; Consider messenger; Present possible consequences; Provide guidance; Enhance commitment; Set goals; Impose expectations; Set standards;

(Implementation of conservation units: Management council; Management agreement; Participative management plan; Fishing Agreements; planning (fishing exclusion zone); Participatory planning and prioritization of actions; Ecological-Economic Zoning - rules of land and sea use; Fishing forums to organize discussion and deliberate on recommendations)",Group-based; Pull; Interactional; Information - Human interactional,better,Subjective norms; Social learning and imitation; Social/professional role and identity; Social influences; Goals;,high,setting up a system for cooperation at a community level; very intensive; long-standing relationships; shared resource management; governing the commons; ,fishery; the commons; government; systems; cooperation,changing conditions for systems level change of behavior,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9
58,95,fisheries management and allocation decision to local fisher and community levels to improve fisheries management,identify common pathways to establishing and implementing managed access with reserves ,1,1,1,1,0,0,0,3,HIGH,1,LOW,"Set goals; Provide feedback; Provide guidance; Impose expectations; Help construct self-image; Enhance commitment; 

(socialization, data collection, setting of goals, establishment of community group; partnership proposal; signing and reporting; assistance to community group; capacity building, economic improvement; landscape analysis or stakeholder mapping to understand the decision-making process; communication; adaptability and flexibility to opportunities and challenges)",Information - Human interactional; Group based; Interactional; ,better,"Goals; Intention; Knowledge; Memory, attention, and decision-processes; motivation; social influences; social/professional role and identity;",high,setting up a system for cooperation at a community level; very intensive; long-standing relationships; shared resource management; governing the commons; ,fishery; the commons; government; systems; cooperation,,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
59,95,fisheries management and allocation decision to local fisher and community levels to improve fisheries management,identify common pathways to establishing and implementing managed access with reserves; lack of management activities,1,1,1,1,0,0,0,3,HIGH,1,LOW,"Set goals; Provide feedback; Provide guidance; Enhance commitment; Help construct self-image; Impose expectations; Provide punishment; Consider messenger;

(legal authority to the MB to design and enforce fishing regulations responsible for communication, management, organize, plan and collect information, funding, manage trust; harmonize local ordinances with national laws; continuing support of local leaders; support and engagement of the local communities and fishers; forming alliances among local stakeholders; networking and engagement with policymakers at all levels of government)",Information - Human interactional; Group based; Interactional; ,better,"Goals; Intention; Knowledge; Memory, attention, and decision-processes; motivation; social influences; social/professional role and identity; Values",high,setting up a system for cooperation at a community level; very intensive; long-standing relationships; shared resource management; governing the commons; ,fishery; the commons; government; systems; cooperation,"legal frameworks in the Philippines provided the foundations for the adoption of MA+R, operationalization of such at local level required some level of adjustment, negotiation, and compromise. Translating laws required consultation, partnership building, groundwork, and awareness building. Community organizing efforts, identifying and training local community champions, and social marketing approaches",0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7
60,105,using behavioral insights to increase water revenue in the recife metropolitan region,To identify opportunities for behavior change in order to reduce non-revenue water,0,1,1,1,0,0,0,2,HIGH,1,LOW,"Make it simple; (payment systems)
Set goals;
Use triggers;
Divert action; (stop tapping water sources)

(Reminders for payment)",Individual-based; Information - electronic; ,unsure,"Knowledge; Goals; Memory, attention, and decision-processes",low,people want to do a behavior but are unsure how to complete it,payment; water; decrease usage; reminder,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0,0,6,1,0,1,0,1,4,4,0,1,0,1,1,1,0,5,2,3,4,0,0,
